Date: 1-1-2022
Player: J. Winslow, line: O 4.5, odds: (-145)
Player: T. Mann, line: O 6.5, odds: (-110)
Player: M. Beasley, line: O 3.5, odds: (-135)

Date: 1-4-2022
Player: K. Bates-Diop, line: O 5.5, odds: (-120)
Player: F. VanVleet, line: O 4.5, odds: (-120)
Player: S. Barnes, line: O 7.5, odds: (+110)
Player: C. Boucher, line: O 5.5, odds: (EVEN)
Player: K. Johnson, line: O 7.5, odds: (+110)
Player: P. Siakam, line: O 8.5, odds: (-120)
Player: O.G. Anunoby, line: O 4.5, odds: (-145)
Player: B. Forbes, line: O 2.5, odds: (+120)
Player: K. Birch, line: O 4.5, odds: (-115)
Player: G. Trent Jr., line: O 2.5, odds: (-140)
Player: J. Landale, line: O 3.5, odds: (-120)
Player: J. Poeltl, line: O 8.5, odds: (-130)
Player: D. White, line: O 3.5, odds: (-150)
Player: L. Stevens, line: O 4.5, odds: (+105)
Player: D. Garland, line: O 2.5, odds: (-160)
Player: B. Clarke, line: O 5.5, odds: (-160)
Player: L. Markkanen, line: O 5.5, odds: (+105)
Player: E. Mobley, line: O 7.5, odds: (-135)
Player: S. Adams, line: O 10.5, odds: (EVEN)
Player: Ja Morant, line: O 5.5, odds: (-145)
Player: K. Love, line: O 8.5, odds: (-125)
Player: D. Bane, line: O 4.5, odds: (-120)
Player: J. Jackson Jr., line: O 5.5, odds: (-125)
Player: J. Allen, line: O 10.5, odds: (-110)
Player: K. Sykes, line: O 2.5, odds: (-160)
Player: O. Brissett, line: O 4.5, odds: (+120)
Player: D. Sabonis, line: O 12.5, odds: (-110)
Player: T. Gibson, line: O 5.5, odds: (-110)
Player: M. Robinson, line: O 7.5, odds: (-155)
Player: J. Randle, line: O 8.5, odds: (-115)
Player: RJ Barrett, line: O 6.5, odds: (-115)
Player: J. Holiday, line: O 3.5, odds: (+120)
Player: I. Quickley, line: O 2.5, odds: (-125)
Player: T. Craig, line: O 4.5, odds: (-110)
Player: A. Burks, line: O 3.5, odds: (-115)
Player: D. Washington Jr., line: O 2.5, odds: (-165)
Player: L. Stephenson, line: O 2.5, odds: (+145)
Player: O. Toppin, line: O 7.5, odds: (-105)
Player: E. Fournier, line: O 3.5, odds: (+130)
Player: M. Turner, line: O 7.5, odds: (-105)
Player: C. Payne, line: O 2.5, odds: (-185)
Player: C. Paul, line: O 4.5, odds: (-105)
Player: J. Valanciunas, line: O 12.5, odds: (+110)
Player: J. Smith, line: O 9.5, odds: (+110)
Player: D. Graham, line: O 2.5, odds: (EVEN)
Player: M. Bridges, line: O 4.5, odds: (-105)
Player: J. Hart, line: O 8.5, odds: (EVEN)
Player: D. Booker, line: O 4.5, odds: (-160)
Player: C. Johnson, line: O 5.5, odds: (+105)
Player: H. Jones, line: O 4.5, odds: (-125)
Player: B. Ingram, line: O 5.5, odds: (-125)
Player: N. Alexander-Walker, line: O 2.5, odds: (-150)
Player: D. Mitchell, line: O 2.5, odds: (+125)
Player: M. Monk, line: O 3.5, odds: (-130)
Player: M. Bagley III, line: O 7.5, odds: (-105)
Player: C. Anthony, line: O 4.5, odds: (-145)
Player: T. Haliburton, line: O 4.5, odds: (+120)
Player: R. Westbrook III, line: O 9.5, odds: (-115)
Player: H. Barnes, line: O 5.5, odds: (-105)
Player: L. James, line: O 9.5, odds: (-120)
Player: T. Ariza, line: O 5.5, odds: (-110)
Player: D. Fox, line: O 4.5, odds: (+110)
Player: D. Jones, line: O 7.5, odds: (+105)
Player: A. Bradley, line: O 3.5, odds: (+110)
Player: T. Horton-Tucker, line: O 3.5, odds: (-145)
Player: B. Hield, line: O 3.5, odds: (+115)
Player: A. Reaves, line: O 2.5, odds: (-170)

Date: 1-5-2022
Player: J. Christopher, line: O 2.5, odds: (-105)
Player: D. Gafford, line: O 9.5, odds: (-130)
Player: K. Martin Jr., line: O 4.5, odds: (-105)
Player: D. Avdija, line: O 6.5, odds: (EVEN)
Player: R. Neto, line: O 2.5, odds: (-120)
Player: B. Beal, line: O 5.5, odds: (+105)
Player: J. Green, line: O 2.5, odds: (-185)
Player: C. Wood, line: O 10.5, odds: (-135)
Player: J. Tate, line: O 5.5, odds: (-115)
Player: K. Porter Jr., line: O 3.5, odds: (-140)
Player: C. Kispert, line: O 2.5, odds: (-110)
Player: K. Caldwell-Pope, line: O 3.5, odds: (-160)
Player: K. Kuzma, line: O 8.5, odds: (-140)
Player: D. Bertans, line: O 2.5, odds: (+105)
Player: E. Gordon, line: O 1.5, odds: (-195)
Player: G. Niang, line: O 2.5, odds: (EVEN)
Player: W. Carter Jr., line: O 9.5, odds: (-145)
Player: T. Harris, line: O 6.5, odds: (-125)
Player: T. Ross, line: O 3.5, odds: (+105)
Player: C. Anthony, line: O 4.5, odds: (-130)
Player: F. Wagner, line: O 5.5, odds: (-115)
Player: J. Embiid, line: O 10.5, odds: (-115)
Player: G. Harris, line: O 2.5, odds: (+115)
Player: D. Green, line: O 2.5, odds: (-170)
