Date: 1-1-2022
Player: I. Roby, line: O 0.5, odds: (-185)
Player: K. Williams, line: O 1.5, odds: (-105)
Player: J. Giddey, line: O 6.5, odds: (-130)
Player: A. Wiggins, line: O 1.5, odds: (+180)
Player: S. Gilgeous-Alexander, line: O 5.5, odds: (+120)
Player: D. Bazley, line: O 0.5, odds: (-195)
Player: A. Edwards, line: O 3.5, odds: (+115)
Player: N. Reid, line: O 0.5, odds: (+115)
Player: K. Towns, line: O 2.5, odds: (-150)
Player: M. Beasley, line: O 1.5, odds: (+120)
Player: P. Beverley, line: O 4.5, odds: (-120)
Player: A. Pokusevski, line: O 1.5, odds: (-130)
Player: C. Boucher, line: O 0.5, odds: (+155)
Player: J. Holiday, line: O 7.5, odds: (+118)
Player: W. Matthews, line: O 1.5, odds: (+130)
Player: S. Barnes, line: O 3.5, odds: (+135)
Player: G. Antetokounmpo, line: O 6.5, odds: (-134)
Player: G. Trent Jr., line: O 1.5, odds: (-155)
Player: P. Siakam, line: O 4.5, odds: (+110)
Player: K. Middleton, line: O 4.5, odds: (-134)
Player: B. Portis Jr., line: O 1.5, odds: (+115)
Player: F. VanVleet, line: O 6.5, odds: (+105)
Player: J. Nwora, line: O 1.5, odds: (-155)
Player: K. Birch, line: O 0.5, odds: (-215)
Player: D. Cousins, line: O 1.5, odds: (-115)
Player: O.G. Anunoby, line: O 2.5, odds: (+125)
Player: F. Campazzo, line: O 5.5, odds: (+105)
Player: A. Gordon, line: O 2.5, odds: (+145)
Player: N. Jokic, line: O 7.5, odds: (-130)
Player: R. Gobert, line: O 0.5, odds: (-225)
Player: M. Morris, line: O 2.5, odds: (-135)
Player: U. Azubuike, line: O 0.5, odds: (+155)
Player: W. Barton, line: O 3.5, odds: (-115)
Player: B. Bogdanovic, line: O 1.5, odds: (-115)
Player: J. Clarkson, line: O 2.5, odds: (-150)
Player: A. Rivers, line: O 1.5, odds: (+125)
Player: M. Conley, line: O 5.5, odds: (-125)
Player: R. O'Neale, line: O 2.5, odds: (+125)
Player: R. Gay, line: O 1.5, odds: (+125)
